MolWt,LogP,TPSA,HBD,HBA,RotB,RadiusGyr,Asphericity,Spherocity,PMI1,PMI2,PMI3
435.5339999999996,4.8563000000000045,45.230000000000004,1,3,3,4.704023725128934,0.3064808395013757,0.3085816702065844,2996.3340322817553,7319.451247794844,8959.067361917036
500.57699999999977,1.41142,130.0,1,9,8,6.387631190020741,0.8236457246326216,0.13054697276792804,1260.6524242618566,19610.70011156975,19977.564998275742
491.5429999999997,4.028020000000002,77.28,0,9,8,6.320133534248943,0.8526225361173984,0.11308458902904926,1004.1102076638383,18988.669967503873,19275.693412986362
509.6699999999995,4.450820000000004,70.47,1,5,11,5.705684998406598,0.6011254364989786,0.17066301856765664,2510.4265850937004,14768.476043227614,15905.549303482898
410.53699999999964,4.264540000000004,22.34,0,2,9,6.585956454483298,0.79685146018065,0.08695561981694419,1277.4298413817091,16941.792813383723,17394.716289201147
545.6050000000014,8.212480000000005,78.92,1,4,8,7.191348774753422,0.7854584331536361,0.08636985020049766,2150.403849149397,26619.547842984986,27662.516007638744
293.1969999999997,4.535000000000003,29.259999999999998,1,2,2,3.6175367798707847,0.4885169386764792,0.2103634506161938,781.1310334933117,3274.650913418987,3618.1055618737405
471.0409999999996,5.000800000000005,50.800000000000004,1,4,10,5.231117853385843,0.20538565039964718,0.14806003876019813,6059.493052775367,7298.860353112807,12421.33803506288
420.60099999999954,5.630420000000005,76.7,2,4,7,4.185220777997177,0.2904242013652616,0.17962788171934002,2504.5737945859482,5161.369839801046,7068.611972198207
408.47299999999973,4.030200000000003,43.7,0,5,8,5.370339811685271,0.7116603782465957,0.15962963175082445,1229.7852460142706,11045.239038789025,11286.147424671211
392.4989999999996,4.137100000000004,43.7,0,5,12,5.263610588437002,0.7321367999599588,0.1353832472164014,1049.9654853002373,10169.428464874769,10529.443833596422
404.50999999999965,4.279600000000004,43.7,0,5,8,5.462319556587239,0.7294254064228177,0.1567051813856322,1176.949320609419,11313.56652238688,11648.161260767249
